player,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Josh Palmer,583.17,0.96,38.87,104.77699999999986,27.108553746484514,61.666666666666664,24.664414311581236,3.0,60.00365311629551,36.76105315449578,38.7,Risky
Josh Reynolds,204.4,1.1642857142857144,25.11,75.08599999999997,19.426714513762928,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,43.2,Depth
Josh Reynolds,185.75,5.058285714285714,25.23,91.39,23.64498627457575,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,44.9,Depth
Josh Reynolds,160.16,5.898640692640692,25.07,71.77699999999997,18.57058955936342,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,42.9,Depth
Josh Reynolds,204.4,1.163333333333333,25.07,75.03499999999997,19.413519478201014,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,43.2,Depth
Josh Reynolds,185.75,5.073309523809525,25.19,91.33899999999996,23.631791239013825,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,44.9,Depth
Josh Reynolds,160.16,5.900602092352091,25.03,71.45999999999997,18.488573357929557,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,42.8,Depth
Josh Reynolds,204.4,1.163333333333333,25.07,75.03499999999997,19.413519478201014,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,43.2,Depth
Josh Reynolds,185.75,5.073309523809525,25.19,91.33899999999996,23.631791239013825,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,44.9,Depth
Josh Reynolds,160.16,5.900602092352091,25.03,71.45999999999997,18.488573357929557,63.333333333333336,7.023769168568491,3.0,88.90983832999967,37.754595131644315,42.8,Depth
JuJu Smith-Schuster,222.07,3.59,25.55,81.283,21.03004069762929,123.5,38.890872965260115,2.0,68.50941485801275,73.6214605067064,51.3,Depth
Justin Jefferson,1528.14,10.06,103.14,317.9869999999996,82.27156418091158,148.2,33.92933833719721,5.0,77.10570977850585,88.34575260804768,83.1,Elite
Justin Watson,319.11,3.51,25.26,81.17400000000002,21.001839543193046,45.0,0.0,1.0,100.0,26.825633383010434,42.8,Depth
Justyn Ross,161.19,5.872268759018758,25.29,71.50499999999997,18.50021603636654,,,,,,19.9,Risky
K.J. Osborn,152.87,1.2733333333333332,25.15,70.37999999999997,18.209149075441957,82.66666666666667,14.468356276140472,3.0,82.49795632929028,49.27968206656732,45.2,Depth
KaVontae Turpin,419.26,2.04,28.63,86.78999999999998,22.454845812128557,,,,,,21.5,Risky
Kadarius Toney,154.92,5.803935425685425,25.16,71.80799999999995,18.578610071175557,,,,,,19.9,Risky
Kalif Raymond,220.99,3.6,25.01,80.24899999999997,20.762517819766153,53.333333333333336,16.441816606851365,3.0,69.1715944401863,31.793343268753105,36.7,Risky
Kameron Johnson,153.04,4.489999999999999,24.76,69.41499999999996,17.959478304515535,,,,,,19.7,Risky
Kayshon Boutte,589.46,3.0,42.95,117.95699999999982,30.51856489758319,61.0,0.0,1.0,100.0,36.36363636363637,49.9,Depth
Keenan Allen,744.26,7.164259990009989,70.15285714285714,181.64699999999996,46.996835778727,128.4,26.359059163786558,5.0,79.47113788278976,76.5424739195231,65.5,Flex
Kendric Pryor,159.5,5.902268759018758,25.23,76.07699999999997,19.68311216556405,,,,,,20.4,Risky
Kendrick Bourne,321.59,0.98,27.33,92.28999999999998,23.87783984331541,73.0,16.97056274847714,2.0,76.7526540876662,43.51713859910581,44.0,Depth
Keon Coleman,557.12,4.02,28.46,114.34100000000002,29.583011003624755,53.0,0.0,1.0,100.0,31.594634873323397,47.9,Depth
Kevin Austin,180.31,1.0442857142857145,25.15,73.71899999999995,19.07303581546612,,,,,,20.1,Risky
KhaDarel Hodge,197.6,1.1542857142857144,24.87,73.11399999999999,18.916506472035575,,,,,,20.1,Risky
Khalil Shakir,822.04,4.0,75.79,181.708,47.012618076163804,75.5,34.64823227814083,2.0,54.10830222619357,45.007451564828614,48.1,Depth
Kristian Wilkerson,158.51,5.925602092352092,25.18,75.92199999999997,19.64300960650333,,,,,,20.4,Risky
Ladd McConkey,1148.94,7.0,81.8,234.42700000000016,60.65240395437108,124.0,0.0,1.0,100.0,73.91952309985098,75.1,Starter
Laviska Shenault Jr.,188.55,0.94,25.29,73.51399999999998,19.01999694703098,75.5,17.67766952966369,2.0,76.58586848275182,45.007451564828614,42.5,Depth
