rk,player,age,team,pos,g,gs,tgt,rec,yds,y/r,td,1d,succ%,lng,r/g,y/g,ctch%,y/tgt,fmb,awards
41.0,Drake London,22.0,ATL,WR,16.0,16.0,110.0,69.0,905.0,13.1,2.0,45.0,52.7,45.0,4.3,56.6,62.7,8.2,0.0,
42.0,Josh Downs,22.0,IND,WR,17.0,9.0,98.0,68.0,771.0,11.3,2.0,30.0,50.0,59.0,4.0,45.4,69.4,7.9,0.0,
43.0,Justin Jefferson,24.0,MIN,WR,10.0,9.0,100.0,68.0,1074.0,15.8,5.0,51.0,61.0,52.0,6.8,107.4,68.0,10.7,1.0,
44.0,Tyler Boyd,29.0,CIN,WR,17.0,13.0,98.0,67.0,667.0,10.0,2.0,28.0,46.9,64.0,3.9,39.2,68.4,6.8,0.0,
45.0,Christian McCaffrey,27.0,SFO,RB,16.0,16.0,83.0,67.0,564.0,8.4,7.0,31.0,55.4,41.0,4.2,35.3,80.7,6.8,3.0,"PB,AP-1,AP MVP-3,AP OPoY-1"
46.0,D.K. Metcalf,26.0,SEA,WR,16.0,16.0,119.0,66.0,1114.0,16.9,8.0,52.0,51.3,73.0,4.1,69.6,55.5,9.4,0.0,PB
47.0,George Kittle,30.0,SFO,TE,16.0,16.0,90.0,65.0,1020.0,15.7,6.0,42.0,60.0,66.0,4.1,63.8,72.2,11.3,0.0,"PB,AP-1"
48.0,Jayden Reed,23.0,GNB,WR,16.0,13.0,94.0,64.0,793.0,12.4,8.0,32.0,51.1,59.0,4.0,49.6,68.1,8.4,2.0,AP ORoY-6
49.0,Rachaad White,24.0,TAM,RB,17.0,17.0,70.0,64.0,549.0,8.6,3.0,23.0,54.3,43.0,3.8,32.3,91.4,7.8,3.0,
50.0,George Pickens,22.0,PIT,WR,17.0,16.0,106.0,63.0,1140.0,18.1,5.0,42.0,50.9,86.0,3.7,67.1,59.4,10.8,3.0,
51.0,Jaxon Smith-Njigba,21.0,SEA,WR,17.0,3.0,93.0,63.0,628.0,10.0,4.0,29.0,47.3,35.0,3.7,36.9,67.7,6.8,0.0,
52.0,Curtis Samuel,27.0,WAS,WR,16.0,13.0,91.0,62.0,613.0,9.9,4.0,26.0,50.5,37.0,3.9,38.3,68.1,6.7,0.0,
53.0,Tyler Conklin,28.0,NYJ,TE,17.0,12.0,87.0,61.0,621.0,10.2,0.0,27.0,44.8,37.0,3.6,36.5,70.1,7.1,0.0,
54.0,Jaylen Warren,25.0,PIT,RB,17.0,0.0,74.0,61.0,370.0,6.1,0.0,19.0,44.6,30.0,3.6,21.8,82.4,5.0,4.0,
55.0,Wan'Dale Robinson,22.0,NYG,WR,15.0,8.0,78.0,60.0,525.0,8.8,1.0,29.0,53.8,33.0,4.0,35.0,76.9,6.7,0.0,
56.0,Deebo Samuel,27.0,SFO,WR,15.0,15.0,89.0,60.0,892.0,14.9,7.0,34.0,56.2,54.0,4.0,59.5,67.4,10.0,1.0,
57.0,Romeo Doubs,23.0,GNB,WR,17.0,16.0,96.0,59.0,674.0,11.4,8.0,41.0,51.0,36.0,3.5,39.6,61.5,7.0,1.0,
58.0,Dallas Goedert,28.0,PHI,TE,14.0,14.0,83.0,59.0,592.0,10.0,3.0,33.0,60.2,49.0,4.2,42.3,71.1,7.1,0.0,
