player,predicted_rush_yds,predicted_rush_tds,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Jonathon Brooks,103.87,1.835333333333333,18.56,0.0,6.7,69.47736904761904,19.96787471171783,19.96787471171783,,,,,,20.5,Risky
Jordan Mason,788.25,3.13,91.58,0.0,11.602,121.99383333333331,35.06116614652761,35.06116614652761,29.0,0.0,1.0,100.0,20.0,46.0,Depth
Jordan Mims,139.48,1.6325,71.18,0.0,13.816666666666665,80.6245,23.171572797920515,23.171572797920515,,,,,,21.8,Risky
Josh Jacobs,1316.73,14.92,341.4,1.0,36.01,298.04263636363606,85.65779192905563,85.65779192905563,108.6,22.897598127314577,5.0,78.91565569385715,74.89655172413792,80.2,Elite
Joshua Kelley,113.46,2.034333333333333,13.74,0.0,6.14,68.15258333333333,19.58712979397922,19.58712979397922,,,,,,20.3,Risky
Julius Chestnut,145.7,1.2925,19.58,0.0,6.13,73.02483333333336,20.987419973325064,20.987419973325064,,,,,,20.9,Risky
Justice Hill,230.04,1.05,385.3,3.015,41.85,129.18900000000016,37.129065212070245,37.129065212070245,59.0,9.899494936611665,2.0,83.22119530707862,40.689655172413794,49.9,Depth
Kareem Hunt,727.76,7.02,175.73,0.0,23.51666666666667,160.7477272727271,46.19907924514594,46.19907924514594,84.5,27.577164466275352,2.0,67.364302792996,58.27586206896552,55.7,Depth
Ke'Shawn Vaughn,113.46,2.034333333333333,13.74,0.0,6.14,68.15258333333333,19.58712979397922,19.58712979397922,,,,,,20.3,Risky
Keaton Mitchell,119.77,1.7926190476190476,16.62,0.3545,6.25,69.93515476190476,20.09944284552851,20.09944284552851,,,,,,20.5,Risky
Kendre Miller,183.62,1.8230952380952383,22.18,0.0,6.75,70.13600000000001,20.157165994889315,20.157165994889315,,,,,,20.6,Risky
Kenneth Gainwell,293.7,1.34,114.57,0.0,15.819,77.39933333333333,22.24465623779185,22.24465623779185,42.0,0.0,1.0,100.0,28.965517241379313,44.0,Depth
Kenneth Walker III,571.09,6.987857142857142,299.49,1.01,45.95,183.60600000000017,52.768572768017144,52.768572768017144,86.0,7.0,3.0,91.86046521092483,59.310344827586206,64.8,Flex
Kenny McIntosh,201.49,1.13,20.62,0.0,6.15,73.86000000000003,21.227447821126454,21.227447821126454,,,,,,21.0,Risky
Khalil Herbert,188.34,1.5,24.77,0.0,11.695,73.6284166666667,21.160890508310644,21.160890508310644,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,42.3,Depth
